,eigen
"[BUS]19.931836,50.0754",6.229089474001382e-13
[ROAD]226834098,1.5777352523069444e-15
[ROAD]226834987,3.898577408181283e-13
"[BUS]19.914471,50.071146",4.666498462713695e-13
[ROAD]1405864429,5.612840122876643e-16
"[BUS]19.95144,50.094274",1.6947663242197365e-17
[ROAD]262053897,1.749189156083057e-17
"[BUS]19.938769,50.088887",4.739826279779786e-16
"[BUS]19.932163,50.089715",4.0240880943418117e-16
"[BUS]19.928692,50.089406",1.3814176644859336e-16
"[BUS]19.924262,50.088409",5.451046176628689e-17
[ROAD]227460286,1.896091137430826e-19
[ROAD]227461264,1.2001486404394002e-22
[ROAD]227461842,1.763100494466607e-16
[ROAD]227461942,4.7441177967253456e-21
[ROAD]232660150,1.2870162706449803e-22
[ROAD]232660157,5.196159471143041e-21
[ROAD]232660185,2.0845844794762501e-19
[ROAD]232660279,8.454133556198345e-18
[ROAD]232663766,1.8924561288008386e-14
[ROAD]232672481,2.168846712086951e-14
[ROAD]232682711,1.8101936231058008e-17
[ROAD]232683222,4.683533774164501e-16
[ROAD]232696757,1.248478336773651e-17
"[BUS]19.944384,50.091649",3.5317478632887717e-16
[ROAD]232697017,9.990368641004622e-15
[ROAD]12471834528,2.7603026643980177e-13
"[BUS]19.88161,50.091671",6.488658006840697e-18
"[BUS]19.882468,50.09495",4.367956290298096e-18
[ROAD]232716009,1.6841243061472894e-18
"[BUS]19.883404,50.102125",5.937133189647204e-19
[ROAD]232716716,4.897472046459024e-16
"[BUS]19.879392,50.107132",1.338487096579256e-14
"[BUS]19.880911,50.091048",1.9383150807565846e-16
"[BUS]19.877643,50.108294",4.384172485958364e-15
"[BUS]19.878334,50.108319",6.082279641882071e-16
"[BUS]19.949066,50.095774",6.314115226419072e-19
"[BUS]19.947645,50.098088",1.5274104681443656e-20
"[BUS]19.94737,50.099462",2.956486634771869e-21
[ROAD]235837190,1.1985443235209217e-22
[ROAD]235837442,4.791540330694116e-22
[ROAD]235837510,1.1816498489334261e-23
[ROAD]235837950,2.2174787235595796e-24
"[BUS]19.946651,50.1014",1.10520188320006e-22
"[BUS]19.971644,50.084939",1.202592611877633e-15
"[BUS]19.890881,50.082431",1.6127889736441277e-11
[ROAD]236136675,1.6632800982145372e-19
[ROAD]236137518,3.603743907921492e-21
"[BUS]19.938817,50.049792",1.0432680526199007e-17
"[BUS]19.941273,50.050315",2.893359562234895e-20
[ROAD]236138978,1.0411399796883288e-17
[ROAD]236139461,1.3860980844348306e-08
"[BUS]19.924099,50.063921",1.1710178624046032e-06
"[BUS]19.923709,50.062397",1.5754337880524258e-06
"[BUS]19.914483,50.067644",1.334103199191741e-09
"[BUS]19.917266,50.067603",6.076872005933684e-09
[ROAD]3883357609,2.781298016559189e-12
"[BUS]19.908605,50.069376",6.657138691936206e-12
"[BUS]19.905437,50.069858",2.0828684309922534e-12
[ROAD]236168905,2.3195206066498395e-20
[ROAD]236169018,3.932959471188462e-21
[ROAD]236169076,4.187479878170096e-24
[ROAD]236169094,1.8179237429768782e-20
[ROAD]236169525,2.1225605897332637e-20
[ROAD]236169655,1.32628589896139e-22
[ROAD]773235704,5.350676024036393e-16
[ROAD]236171600,1.7599093935236015e-17
"[BUS]19.934504,50.091627",2.50168481466695e-15
"[BUS]19.908872,50.089432",7.429976867156664e-15
"[BUS]19.941279,50.091128",1.3826402599900108e-14
"[BUS]19.963394,50.084989",2.8776081579857196e-15
"[BUS]19.926503,50.091339",1.5395927761243555e-15
[ROAD]535284291,5.788483657563152e-13
"[BUS]19.976424,50.085398",1.9250029636093583e-15
[ROAD]236180325,1.8554570246616073e-13
"[BUS]19.976798,50.085422",5.983726832374041e-14
"[BUS]19.908207,50.089434",3.681160486746588e-15
"[BUS]19.998956,50.087658",1.1934375287825346e-15
"[BUS]19.907811,50.089281",2.058988670755579e-14
"[BUS]19.913771,50.089345",1.147853502999562e-15
[ROAD]236184999,3.0058903525656297e-13
"[BUS]19.935786,50.091702",5.2418608013384865e-15
[ROAD]1768224824,1.063723321433902e-21
[ROAD]236298647,3.486390072318437e-14
"[BUS]19.913637,50.067971",2.7538422085033957e-10
"[BUS]19.938391,50.050764",6.524757398759982e-16
"[BUS]19.926702,50.069145",2.9512085434881062e-08
[ROAD]240971032,2.0199405869204355e-15
[ROAD]240971033,1.1719695750670893e-16
[ROAD]240977613,4.1152139171565017e-16
[ROAD]262210529,3.7704784669841917e-13
"[BUS]19.906339,50.075689",4.590033132797702e-19
[ROAD]240985579,8.9377420391617e-18
"[BUS]19.943141,50.108612",1.3956977758984154e-22
"[BUS]19.992613,50.104421",1.4781575604274069e-21
[ROAD]243358036,1.0907019573519997e-23
"[BUS]20.012728,50.095014",5.189466260582489e-20
[ROAD]282877146,1.5855150921744476e-20
[ROAD]9874468555,2.5364842226307487e-21
[ROAD]587632541,3.822891043178351e-17
[ROAD]243362263,5.497433807916699e-22
[ROAD]243362589,1.5786542734026232e-24
[ROAD]243365296,6.731010456833462e-16
"[BUS]19.978754,50.089697",1.3637450858774686e-18
"[BUS]19.975963,50.089348",3.0446677443506017e-17
[ROAD]243378349,2.916016529434478e-17
[ROAD]277711654,1.824422079360264e-19
"[BUS]19.960438,50.091962",6.268678402856369e-13
[ROAD]243644963,1.7018513154812976e-16
[ROAD]277717915,1.0840802199539322e-18
"[BUS]19.983074,50.090172",1.9861584188838537e-19
[ROAD]243645056,1.301185323302214e-17
"[BUS]19.979873,50.085771",2.7380266945251307e-14
[ROAD]243778558,2.1558134491316215e-15
"[BUS]19.947813,50.087778",7.751498613788151e-13
"[BUS]20.013184,50.098171",3.932912317820373e-21
[ROAD]10702726103,2.5852382575515005e-19
[ROAD]243781986,3.628370682284554e-18
[ROAD]7641157446,1.5855860663327844e-15
[ROAD]243783954,1.1849141697967492e-15
[ROAD]243784004,6.623596503683005e-14
[ROAD]243784020,1.1608449791956993e-15
[ROAD]243784122,2.2224683175855242e-17
[ROAD]244397086,0.3749010731880702
[ROAD]244397094,0.05718813160446044
[ROAD]244397946,0.4837083927111613
"[BUS]19.825904,50.021207",0.07478521927315149
[ROAD]244398363,0.5046536399012455
"[BUS]19.82872,50.022391",0.003289597803445479
"[BUS]19.832886,50.024616",0.0012491918640169636
"[BUS]19.847262,50.027509",1.0997153547143602e-08
"[BUS]19.851946,50.028778",3.0540849933502025e-12
[ROAD]244398843,1.2451193088073004e-13
"[BUS]19.886642,50.035562",2.1477921354120122e-23
"[BUS]19.888212,50.036317",4.85231745362487e-22
[ROAD]244398913,2.206291920261942e-20
[ROAD]244398919,6.980281137055597e-16
"[BUS]19.905699,50.044971",3.29752433536496e-14
"[BUS]19.922058,50.050446",3.1175257358442784e-13
"[BUS]19.926598,50.051889",6.529714393200524e-10
[ROAD]244398996,1.3024758158838618e-06
"[BUS]19.852255,50.026323",3.7507528613987614e-14
"[BUS]19.809048,50.015682",9.340773304918669e-09
[ROAD]244399322,2.4943134194512224e-12
[ROAD]5179796775,1.4948159701600852e-10
[ROAD]244399331,1.6724168209881484e-14
[ROAD]244399347,2.996139448427161e-14
"[BUS]19.816764,50.001406",1.1583645697983885e-13
"[BUS]19.814478,50.008375",7.186977171477044e-12
"[BUS]19.812303,50.009868",2.5723369381705513e-10
"[BUS]19.911317,50.024413",5.122058586563382e-18
[ROAD]245363385,1.4764157469456824e-21
[ROAD]245363387,2.5388350163303016e-23
[ROAD]245366177,4.932675023528854e-15
"[BUS]19.920477,50.031561",7.25988235320006e-14
[ROAD]245374349,1.7436631383460052e-15
"[BUS]19.913101,50.027256",1.406869765238249e-16
"[BUS]19.909581,50.022137",1.9844003851397528e-20
"[BUS]19.898831,50.011688",2.4162758348664873e-20
[ROAD]245369265,2.0675293609585976e-18
[ROAD]2953371169,1.0988208989119849e-17
[ROAD]245373676,8.006173227014458e-21
[ROAD]245373680,2.8528403840240877e-17
[ROAD]245373837,4.913013701296247e-19
"[BUS]19.922749,50.043224",4.678272732120586e-10
"[BUS]19.924094,50.040967",4.741942135964357e-11
[ROAD]245373861,1.1961731386769947e-09
[ROAD]1839568819,1.7606835472584023e-11
[ROAD]245375188,9.94071714412641e-21
[ROAD]245375477,6.224817990000977e-17
[ROAD]245376148,1.026020415545891e-18
[ROAD]245421384,7.562855336743149e-13
"[BUS]19.930324,50.048322",4.285629661222117e-06
